,FECHA,ML,Low,High
AN,2020-02-25,2.0,0.34,6.43
AN,2020-02-26,2.35,0.48,5.72
AN,2020-02-27,2.05,0.5,4.54
AN,2020-02-28,1.8900000000000001,0.47000000000000003,3.98
AN,2020-02-29,1.78,0.48,3.67
AN,2020-03-01,1.52,0.39,3.21
AN,2020-03-02,1.5,0.39,3.13
AN,2020-03-03,1.35,0.0,3.12
AN,2020-03-04,1.32,0.0,3.0300000000000002
AN,2020-03-05,1.83,0.11,3.44
AN,2020-03-06,2.27,0.58,3.84
AN,2020-03-07,2.37,0.91,3.73
AN,2020-03-08,2.49,1.28,3.63
AN,2020-03-09,2.59,1.6300000000000001,3.56
AN,2020-03-10,2.48,1.68,3.2800000000000002
AN,2020-03-11,2.61,1.96,3.27
AN,2020-03-12,2.5,1.97,3.06
AN,2020-03-13,2.34,1.8900000000000001,2.81
AN,2020-03-14,2.19,1.79,2.58
AN,2020-03-15,2.0100000000000002,1.67,2.37
AN,2020-03-16,1.8800000000000001,1.57,2.2
AN,2020-03-17,1.79,1.51,2.08
AN,2020-03-18,1.6600000000000001,1.3900000000000001,1.9100000000000001
AN,2020-03-19,1.56,1.32,1.81
AN,2020-03-20,1.53,1.31,1.77
AN,2020-03-21,1.54,1.33,1.76
AN,2020-03-22,1.56,1.37,1.77
AN,2020-03-23,1.55,1.36,1.73
AN,2020-03-24,1.52,1.34,1.69
AN,2020-03-25,1.45,1.29,1.62
AN,2020-03-26,1.42,1.26,1.57
AN,2020-03-27,1.34,1.19,1.49
AN,2020-03-28,1.28,1.1400000000000001,1.43
AN,2020-03-29,1.24,1.1,1.3800000000000001
AN,2020-03-30,1.18,1.05,1.33
AN,2020-03-31,1.12,0.99,1.26
AN,2020-04-01,1.09,0.9500000000000001,1.22
AN,2020-04-02,1.01,0.88,1.1500000000000001
AN,2020-04-03,0.96,0.8200000000000001,1.09
AN,2020-04-04,0.86,0.73,1.01
AN,2020-04-05,0.76,0.61,0.89
AN,2020-04-06,0.67,0.53,0.8300000000000001
AN,2020-04-07,0.6,0.45,0.76
AN,2020-04-08,0.5700000000000001,0.41000000000000003,0.74
AN,2020-04-09,0.58,0.41000000000000003,0.75
AN,2020-04-10,0.59,0.41000000000000003,0.77
AN,2020-04-11,0.63,0.44,0.8200000000000001
AN,2020-04-12,0.65,0.46,0.86
AN,2020-04-13,0.65,0.44,0.85
AR,2020-03-03,2.0,0.34,6.43
AR,2020-03-04,2.35,0.48,5.72
AR,2020-03-05,2.05,0.5,4.54
AR,2020-03-06,2.48,0.74,4.64
AR,2020-03-07,2.52,0.92,4.29
AR,2020-03-08,2.41,0.99,3.85
AR,2020-03-09,2.37,1.17,3.64
AR,2020-03-10,2.38,1.23,3.5100000000000002
AR,2020-03-11,2.21,1.23,3.19
AR,2020-03-12,2.12,1.26,2.96
AR,2020-03-13,1.9100000000000001,1.16,2.68
AR,2020-03-14,1.74,1.04,2.42
AR,2020-03-15,1.6300000000000001,0.99,2.27
AR,2020-03-16,1.59,1.0,2.19
AR,2020-03-17,1.55,1.0,2.11
AR,2020-03-18,1.62,1.12,2.15
AR,2020-03-19,1.67,1.19,2.13
AR,2020-03-20,1.71,1.27,2.13
AR,2020-03-21,1.74,1.36,2.15
AR,2020-03-22,1.77,1.42,2.14
AR,2020-03-23,1.76,1.43,2.08
AR,2020-03-24,1.76,1.46,2.05
AR,2020-03-25,1.71,1.44,1.98
AR,2020-03-26,1.6500000000000001,1.4000000000000001,1.9000000000000001
AR,2020-03-27,1.55,1.33,1.8
AR,2020-03-28,1.45,1.23,1.67
AR,2020-03-29,1.34,1.1400000000000001,1.57
AR,2020-03-30,1.23,1.03,1.44
AR,2020-03-31,1.1300000000000001,0.93,1.34
AR,2020-04-01,1.02,0.8300000000000001,1.24
AR,2020-04-02,0.93,0.73,1.1400000000000001
AR,2020-04-03,0.85,0.64,1.06
AR,2020-04-04,0.77,0.56,0.99
AR,2020-04-05,0.71,0.49,0.93
AR,2020-04-06,0.6900000000000001,0.46,0.92
AR,2020-04-07,0.6900000000000001,0.45,0.93
AR,2020-04-08,0.71,0.47000000000000003,0.97
AR,2020-04-09,0.75,0.49,1.0
AR,2020-04-10,0.78,0.53,1.06
AR,2020-04-11,0.84,0.58,1.12
AR,2020-04-12,0.86,0.6,1.1500000000000001
AR,2020-04-13,0.85,0.58,1.1400000000000001
AS,2020-03-01,2.0,0.34,6.43
AS,2020-03-02,1.8800000000000001,0.38,5.01
AS,2020-03-03,1.8,0.38,4.45
AS,2020-03-04,1.74,0.4,4.13
AS,2020-03-05,1.69,0.37,3.85
AS,2020-03-06,1.8900000000000001,0.47000000000000003,3.98
AS,2020-03-07,2.0,0.56,3.9
AS,2020-03-08,2.62,0.56,4.45
AS,2020-03-09,2.71,0.99,4.26
AS,2020-03-10,2.56,1.1500000000000001,3.85
AS,2020-03-11,2.54,1.4000000000000001,3.63
AS,2020-03-12,2.46,1.52,3.38
AS,2020-03-13,2.19,1.3900000000000001,2.99
AS,2020-03-14,2.0100000000000002,1.31,2.72
AS,2020-03-15,1.83,1.2,2.47
AS,2020-03-16,1.69,1.12,2.29
AS,2020-03-17,1.72,1.2,2.27
AS,2020-03-18,1.69,1.21,2.19
AS,2020-03-19,1.6300000000000001,1.16,2.06
AS,2020-03-20,1.56,1.1400000000000001,1.98
AS,2020-03-21,1.49,1.1,1.8900000000000001
AS,2020-03-22,1.4000000000000001,1.02,1.77
AS,2020-03-23,1.33,0.97,1.69
AS,2020-03-24,1.23,0.87,1.57
AS,2020-03-25,1.16,0.8300000000000001,1.52
AS,2020-03-26,1.1,0.76,1.44
AS,2020-03-27,1.06,0.73,1.41
AS,2020-03-28,1.02,0.68,1.35
AS,2020-03-29,1.01,0.68,1.35
AS,2020-03-30,1.0,0.66,1.33
AS,2020-03-31,0.98,0.65,1.33
AS,2020-04-01,0.9500000000000001,0.62,1.3
AS,2020-04-02,0.93,0.59,1.28
AS,2020-04-03,0.89,0.55,1.25
AS,2020-04-04,0.84,0.49,1.2
AS,2020-04-05,0.78,0.42,1.1500000000000001
AS,2020-04-06,0.74,0.36,1.11
AS,2020-04-07,0.68,0.29,1.07
AS,2020-04-08,0.66,0.27,1.09
AS,2020-04-09,0.71,0.3,1.1500000000000001
AS,2020-04-10,0.8200000000000001,0.4,1.27
AS,2020-04-11,0.99,0.56,1.43
AS,2020-04-12,1.17,0.75,1.6
AS,2020-04-13,1.28,0.87,1.69
CB,2020-03-08,2.0,0.34,6.43
CB,2020-03-09,2.35,0.48,5.72
CB,2020-03-10,2.43,0.64,4.98
CB,2020-03-11,2.64,0.87,4.67
CB,2020-03-12,2.54,0.99,4.17
CB,2020-03-13,2.24,0.9400000000000001,3.61
CB,2020-03-14,2.06,0.93,3.27
CB,2020-03-15,1.82,0.62,3.0
CB,2020-03-16,1.84,0.75,2.91
CB,2020-03-17,2.11,1.1400000000000001,3.02
CB,2020-03-18,2.2600000000000002,1.46,3.0700000000000003
CB,2020-03-19,2.3000000000000003,1.6300000000000001,3.0
CB,2020-03-20,2.23,1.6500000000000001,2.82
CB,2020-03-21,2.1,1.58,2.6
CB,2020-03-22,2.02,1.57,2.47
CB,2020-03-23,1.9100000000000001,1.5,2.3000000000000003
CB,2020-03-24,1.79,1.43,2.16
CB,2020-03-25,1.6600000000000001,1.33,2.0
CB,2020-03-26,1.5,1.19,1.82
CB,2020-03-27,1.34,1.05,1.6600000000000001
CB,2020-03-28,1.19,0.9,1.49
CB,2020-03-29,1.02,0.73,1.32
CB,2020-03-30,0.88,0.59,1.19
CB,2020-03-31,0.75,0.45,1.07
CB,2020-04-01,0.63,0.32,0.97
CB,2020-04-02,0.55,0.22,0.9
